rollout/exploration_rate,time/fps,time/episodes,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/n_updates,train/learning_rate
0.7708828,161,14556,120588,745,1.83,238.17,0.13881392776966095,4411,5e-05
0.7707916000000001,161,14560,120636,746,1.85,238.82,0.28458067774772644,4414,5e-05
0.7707536,161,14564,120656,746,1.87,239.81,0.11261586844921112,4415,5e-05
0.7707156,161,14568,120676,746,1.88,239.98,0.07967051863670349,4417,5e-05
0.77067,161,14572,120700,746,1.86,239.32,0.13698583841323853,4418,5e-05
0.7706320000000001,161,14576,120720,746,1.86,239.32,0.04974536970257759,4419,5e-05
0.7705636,161,14580,120756,747,1.83,238.39,0.14741303026676178,4422,5e-05
0.770518,161,14584,120780,747,1.83,238.39,0.10065236687660217,4423,5e-05
0.7704648,161,14588,120808,747,1.82,237.96,0.1314469873905182,4425,5e-05
0.7703432000000001,161,14592,120872,748,1.83,238.48,0.07020082324743271,4429,5e-05
0.7702671999999999,161,14596,120912,748,1.83,238.48,0.11790432780981064,4431,5e-05
0.770214,161,14600,120940,748,1.82,237.74,0.1574305295944214,4433,5e-05
0.7701532000000001,161,14604,120972,748,1.81,237.42,0.1109202429652214,4435,5e-05
0.7701,161,14608,121000,749,1.84,238.89,0.06279803067445755,4437,5e-05
0.7700239999999999,161,14612,121040,749,1.84,238.89,0.05172710865736008,4439,5e-05
0.7699024000000001,161,14616,121104,749,1.81,237.98,0.09524402022361755,4443,5e-05
0.7698035999999999,161,14620,121156,750,1.82,238.22,0.07914164662361145,4447,5e-05
0.7697656000000002,161,14624,121176,750,1.82,238.22,0.20489874482154846,4448,5e-05
0.7696896,161,14628,121216,750,1.84,239.18,0.042261719703674316,4450,5e-05
0.7696136,161,14632,121256,751,1.83,238.91,0.10783583670854568,4453,5e-05
0.7695376,161,14636,121296,751,1.88,240.72,0.1087239682674408,4455,5e-05
0.7694844000000001,161,14640,121324,751,1.88,240.72,0.1473354995250702,4457,5e-05
0.7694236,161,14644,121356,752,1.9,241.08,0.06321041285991669,4459,5e-05
0.7693475999999999,161,14648,121396,752,1.9,241.08,0.1085342988371849,4462,5e-05
0.769302,161,14652,121420,752,1.89,241.02,0.09485824406147003,4463,5e-05
0.7692336,161,14656,121456,752,1.89,241.02,0.10030415654182434,4465,5e-05
0.7691728,161,14660,121488,753,1.89,241.02,0.14246909320354462,4467,5e-05
0.7691348000000001,161,14664,121508,753,1.86,239.67,0.10430718958377838,4469,5e-05
0.7690816,161,14668,121536,753,1.82,238.06,0.04848785698413849,4470,5e-05
0.769036,161,14672,121560,753,1.82,238.06,0.10257431864738464,4472,5e-05
0.7689371999999999,161,14676,121612,754,1.83,238.71,0.09590902179479599,4475,5e-05
0.7688688,161,14680,121648,754,1.83,238.71,0.077521413564682,4477,5e-05
0.7688232,161,14684,121672,754,1.84,239.0,0.04007253795862198,4479,5e-05
0.7687167999999999,161,14688,121728,755,1.84,238.95,0.09689327329397202,4482,5e-05
0.768656,161,14692,121760,755,1.83,238.43,0.08511541783809662,4484,5e-05
0.7685723999999999,161,14696,121804,755,1.83,238.73,0.06632691621780396,4487,5e-05
0.7685192000000001,161,14700,121832,756,1.82,238.32,0.0676928386092186,4489,5e-05
0.7684508000000001,161,14704,121868,756,1.82,238.32,0.1574530005455017,4491,5e-05
0.7684052,161,14708,121892,756,1.81,237.88,0.08792514353990555,4493,5e-05
0.7683519999999999,161,14712,121920,756,1.83,238.65,0.1608514040708542,4494,5e-05
0.7683139999999999,161,14716,121940,756,1.83,238.65,0.12430824339389801,4496,5e-05
0.7682076,161,14720,121996,757,1.8,237.58,0.0740228146314621,4499,5e-05
0.7681772,161,14724,122012,757,1.8,237.58,0.10374762117862701,4500,5e-05
0.7681315999999999,161,14728,122036,757,1.82,237.99,0.0949486792087555,4502,5e-05
0.7680404000000001,161,14732,122084,758,1.8,237.43,0.07097426056861877,4505,5e-05
0.7679948000000001,161,14736,122108,758,1.8,237.24,0.10959912836551666,4506,5e-05
0.7679187999999999,161,14740,122148,758,1.8,237.2,0.08429059386253357,4509,5e-05
0.7678352,161,14744,122192,758,1.8,237.2,0.13142625987529755,4511,5e-05
0.7677592,160,14748,122232,759,1.81,237.54,0.09793298691511154,4514,5e-05
0.7677212,160,14752,122252,759,1.83,238.54,0.1309826672077179,4515,5e-05
0.767592,160,14756,122320,760,1.83,238.54,0.11349022388458252,4519,5e-05
0.7675008,160,14760,122368,760,1.84,239.3,0.10642057657241821,4522,5e-05
0.7674628000000001,160,14764,122388,760,1.84,239.3,0.03226207569241524,4524,5e-05
0.7674248000000001,160,14768,122408,760,1.84,239.3,0.04186508059501648,4525,5e-05
0.7673868,160,14772,122428,760,1.89,241.38,0.11456294357776642,4526,5e-05
0.7673487999999999,160,14776,122448,761,1.92,242.56,0.06589077413082123,4527,5e-05
